,RT,m/z,Metabolite,HMDB (*Representative ID),Pooled QC sample CV,Method,Intercept,diagnosis[T.UC],diagnosis[T.nonIBD],chemical_name
C18n_QI06,9.75,313.2387,12.13-diHOME,HMDB04705,0.027194334,C18-neg,8.251734933352076,2.539112129096252,1.921602554812784,C18n_QI06
C18n_QI07,9.95,313.2387,9.10-diHOME,HMDB04704,0.026412656,C18-neg,1.3174650282617435,0.3795628927986456,0.4524653630403233,C18n_QI07
C18n_QI10,5.81,149.0597,hydrocinnamate,HMDB00764,0.024137633,C18-neg,0.09571190783938023,-0.02003451358868347,1.0883561449197483,C18n_QI10
C18n_TF1,6.37,159.1027,2-hydroxyoctanoate,HMDB00711*,0.16606771,C18-neg,0.012021264528833342,0.5054490946571661,0.8128393368867588,C18n_TF1
C18n_QI13,10.55,171.1381,caprate,HMDB00511,0.053002417999999996,C18-neg,-0.6099689393285885,-0.1786541558463739,1.3683495597985935,C18n_QI13
C18n_TF2,8.12,187.13400000000001,3-hydroxydecanoate,HMDB02203,0.100077073,C18-neg,0.09556790301760287,0.7434215925972296,0.5351148324159336,C18n_TF2
C18n_QI15,12.18,199.1697,dodecanoate,HMDB00638,0.025840803,C18-neg,2.2762834639306893,1.1525546692650153,1.2003500538018894,C18n_QI15
C18n_QI16,6.79,215.1284,undecanedionate,HMDB00888,0.026132651,C18-neg,-0.7964170365575924,0.4225280665199591,0.5152147488740635,C18n_QI16
C18n_QI17,12.55,225.1855,myristoleate,HMDB02000,0.046632622,C18-neg,-1.1486347108129635,-0.3542518235404657,-0.3341607374998379,C18n_QI17
C18n_QI18,13.61,227.2013,myristate,HMDB00806,0.026548624,C18-neg,2.6711132139917244,0.6767410420219733,0.8703207450059605,C18n_QI18
C18n_TF3,7.62,229.1445,dodecanedioate,HMDB00623,0.088785966,C18-neg,3.3347475142236576,-0.2126342869956659,0.385707564845438,C18n_TF3
C18n_TF4,14.23,241.2173,pentadecanoate,HMDB00826,0.039288261,C18-neg,5.0299956412073,0.7392831229011829,1.0069807844308567,C18n_TF4
C18n_QI20,13.82,253.2174,palmitoleate,HMDB03229,0.027099407000000002,C18-neg,2.8846037001367435,0.6511179589073492,0.6359425263551426,C18n_QI20
C18n_QI21,14.78,255.2331,palmitate,HMDB00220,0.039758168999999996,C18-neg,4.271561583971582,0.9293460034172352,0.7836014704850864,C18n_QI21
C18n_QI23,14.38,267.233,10-heptadecenoate,HMDB60038,0.041830109,C18-neg,1.3232299895044193,0.5043468855659796,0.5829866604951572,C18n_QI23
C18n_QI25,13.54,271.228,2-hydroxyhexadecanoate,HMDB62548,0.030819125,C18-neg,2.2991926283594,0.687056579474671,1.0223895983842564,C18n_QI25
C18n_QI26,13.36,277.2175,alpha-linolenate,HMDB01388,0.017526872,C18-neg,3.9208461851831298,0.7404264591972662,0.5462737755922031,C18n_QI26
C18n_QI27,14.1,279.2333,linoleate,HMDB00673,0.028062026,C18-neg,5.373392543291651,0.8620689295570685,0.9518501835015964,C18n_QI27
C18n_QI28,14.9,281.249,oleate,HMDB00207,0.038589988,C18-neg,5.494470319246851,0.7218027495186163,0.8320915179399204,C18n_QI28
C18n_QI29,15.73,283.2644,stearate,HMDB00827,0.14746221699999998,C18-neg,3.1269700140710697,0.6521646164696051,0.7286629157212925,C18n_QI29
C18n_QI31,15.37,295.2643,10-nonadecenoate,HMDB13622,0.129245942,C18-neg,0.5624367804284915,0.5199621104042365,0.2622940020707798,C18n_QI31
C18n_QI34,13.23,301.2175,eicosapentaenoate,HMDB01999,0.017738161000000002,C18-neg,1.9710170836206304,1.08805779445575,-0.6150831503721523,C18n_QI34
C18n_QI35,13.93,303.2333,arachidonate,HMDB01043,0.026220507,C18-neg,3.6542036146875247,0.8131033562462164,-0.3148345274778652,C18n_QI35
C18n_QI36,14.41,305.2489,eicosatrienoate,HMDB02925,0.044704274,C18-neg,3.2108904928918705,0.4036424540321661,-0.17676442097151754,C18n_QI36
C18n_QI37,15.05,307.2644,eicosadienoate,HMDB05060,0.079573351,C18-neg,1.7814151854272708,0.6233016632835682,-0.17071621845686913,C18n_QI37
C18n_QI38,15.78,309.2801,eicosenoate,HMDB02231,0.171765576,C18-neg,1.970575532412134,0.5344734572212513,0.6830138640550327,C18n_QI38
C18n_QI39,16.63,311.2958,arachidate,HMDB02212,0.118834274,C18-neg,0.5272714705224857,0.8936062239448859,0.9383183794168186,C18n_QI39
C18n_QI40,16.0,311.2958,phytanate,HMDB00801,0.211783948,C18-neg,-0.6434867768530026,0.07767395008013978,0.4136970715669346,C18n_QI40
C18n_QI41,13.71,327.2336,docosahexaenoate,HMDB02183,0.026863323999999997,C18-neg,2.6693498701806893,1.1011162184517218,-0.20146744678938866,C18n_QI41
C18n_QI42,14.08,329.2487,docosapentaenoate,HMDB01976,0.027831612000000002,C18-neg,2.8867027373071537,0.5366111182014777,-0.3748275561186123,C18n_QI42
C18n_QI43,14.7,331.2645,adrenate,HMDB02226,0.033543453,C18-neg,2.3954493613000736,0.5884964846412952,-0.4882165713163662,C18n_QI43
C18n_QI44,16.62,337.3115,13-docosenoate,HMDB02068,0.112808691,C18-neg,0.5800726027246341,0.4854677103798206,0.24966151286637306,C18n_QI44
C18n_QI46,13.5,455.3534,oleanate,HMDB02364,0.029696841,C18-neg,2.6616665930505623,0.5226054571907337,1.1112141089585972,C18n_QI46
C18n_QI47,11.38,471.3481,masilinate,HMDB02392,0.024128556000000002,C18-neg,1.361253461336695,1.1693836830894782,0.8426848130372715,C18n_QI47
C18n_QI48,11.98,375.2905,lithocholate,HMDB00761,0.018583315,C18-neg,3.837614259218775,0.6815498255531605,0.9582146482614232,C18n_QI48
C18n_QI49,10.12,391.2855,chenodeoxycholate,HMDB00518,0.022652797000000002,C18-neg,3.3141381354089603,0.3731329821388538,0.2877720074800205,C18n_QI49
C18n_QI50,10.32,391.2857,deoxycholate,HMDB00626,0.015982545,C18-neg,4.810824832415187,0.745723047141297,1.0163133220819187,C18n_QI50
C18n_QI51,8.85,391.2855,hyodeoxycholate/ursodeoxycholate,HMDB00733*,0.023854592,C18-neg,2.7913868040796146,0.5591588400642706,0.6200471596864414,C18n_QI51
C18n_QI52,7.97,405.2648,ketodeoxycholate,HMDB00391,0.02786767,C18-neg,3.3448769659753665,0.3320782564918829,-0.3059200568052578,C18n_QI52
C18n_QI53,7.74,407.2804,alpha-muricholate,HMDB00506,0.032195325,C18-neg,2.9132830710168705,0.2673464201729132,-0.046915106281881336,C18n_QI53
C18n_QI54,8.73,407.2804,cholate,HMDB00619,0.026841387999999997,C18-neg,4.343267163729273,0.4110682390968634,-6.04910703945194e-05,C18n_QI54
C18n_QI55,10.45,432.3119,glycolithocholate,HMDB00698,0.029194015,C18-neg,-0.7777040391210691,-0.4982976533134149,0.6749675946382236,C18n_QI55
C18n_QI56,8.84,448.30699999999996,glycochenodeoxycholate,HMDB00637,0.01930499,C18-neg,3.2915732474084716,-0.2120189286430048,-0.3902575297209072,C18n_QI56
C18n_QI57,9.08,448.3074,glycodeoxycholate,HMDB00631,0.017564641000000002,C18-neg,1.8399231047387945,0.5623170517723377,0.7235649304536533,C18n_QI57
C18n_QI58,7.69,448.3071,glycoursodeoxycholate,HMDB00708,0.03135902,C18-neg,1.3280016989465577,-0.12788315784527526,-1.0420169157835293,C18n_QI58
C18n_QI59,7.74,464.3021,glycocholate,HMDB00138,0.020988457000000002,C18-neg,3.4277579397912845,-0.2469498730857556,-0.3720835966917324,C18n_QI59
C18n_QI60,9.65,482.295,taurolithocholate,HMDB00722,0.014963438,C18-neg,1.2264334769006595,0.4875760458748157,0.3836924510148716,C18n_QI60
C18n_QI61,8.12,498.2899,taurochenodeoxycholate,HMDB00951,0.020500688,C18-neg,3.5698768706079353,0.5922810219566639,-0.1811463160368252,C18n_QI61
C18n_QI62,8.39,498.29,taurodeoxycholate,HMDB00896,0.022760322000000003,C18-neg,2.4318458647485603,0.5914534710686041,0.2914689259675693,C18n_QI62
