,Intercept,diagnosis[T.UC],diagnosis[T.nonIBD],species_name
k__Archaea,-0.9837809775647752,-0.9910471673749948,-0.9918338922100984,k__Archaea
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria,2.0757540489855177,-0.15021350343456508,-0.5088044372635805,c__Gammaproteobacteria
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales,1.7972267891588576,-0.1555864449285531,-0.4588724640446626,o__Enterobacteriales
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae,1.7972255970659619,-0.15558543164959104,-0.4588718083935701,f__Enterobacteriaceae
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis,1.7238625313463576,0.5767822031236625,-0.43899097715196334,s__Bacteroides_fragilis
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis|t__Bacteroides_fragilis_unclassified,1.6914109017076857,0.5930278066850647,-0.42301091228303545,t__Bacteroides_fragilis_unclassified
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia,1.3871172692003615,0.07347903291949986,-0.28950884614762984,g__Escherichia
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli,1.3545523907366164,0.07531437914142369,-0.2843660381871187,s__Escherichia_coli
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli|t__Escherichia_coli_unclassified,1.3545523907366164,0.07531473676929235,-0.2843660381871187,t__Escherichia_coli_unclassified
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella,0.9983806635561354,-0.193143271996882,-0.2560724285679781,g__Veillonella
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae|g__Acidaminococcus,0.4844763304415114,-0.18772908408870848,-0.2448784974652254,g__Acidaminococcus
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_parvula,0.4747120167436965,-0.22178902585735472,-0.22462382589158647,s__Veillonella_parvula
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_parvula|t__Veillonella_parvula_unclassified,0.4747120167436965,-0.22178902585735472,-0.22462382589158647,t__Veillonella_parvula_unclassified
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus,2.0845147396746047,0.443837380812262,-0.21041741643724168,s__Bacteroides_ovatus
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae|g__Acidaminococcus|s__Acidaminococcus_unclassified,0.2802120472612746,-0.15926834304561854,-0.2049200800496065,s__Acidaminococcus_unclassified
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Klebsiella,0.07786381499198748,-0.21464558799495936,-0.19732281242189045,g__Klebsiella
k__Bacteria|p__Firmicutes|c__Bacilli,0.20186436430839366,-0.08571281392803343,-0.19255479846772786,c__Bacilli
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales,0.20156026141074967,-0.08569195230236293,-0.19249012742814653,o__Lactobacillales
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_pneumoniae|t__Klebsiella_pneumoniae_unclassified,0.035259010952985996,-0.20759131868114625,-0.1923371223050081,t__Klebsiella_pneumoniae_unclassified
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_pneumoniae,0.0352587725344069,-0.20759125907650144,-0.19233706270036333,s__Klebsiella_pneumoniae
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_stercorea|t__GCF_000235885,-0.13250905020805526,0.27116129438647985,-0.18853857789811806,t__GCF_000235885
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_stercorea,-0.13250905020805526,0.27116129438647985,-0.18853857789811806,s__Prevotella_stercorea
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_2_1_22|t__GCF_000162155,0.6016978050890334,-0.07128187377681973,-0.17844542537507646,t__GCF_000162155
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_2_1_22,0.6016978050890334,-0.07128187377681973,-0.17844542537507646,s__Bacteroides_sp_2_1_22
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_noname|s__Peptostreptococcaceae_noname_unclassified,-0.10040384276481797,-0.15987195928325806,-0.1765549448567354,s__Peptostreptococcaceae_noname_unclassified
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae,-0.20323914034935164,-0.15496125180950404,-0.17652240072068806,f__Lactobacillaceae
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus,-0.21967458470436266,-0.1529937024854684,-0.17383798633393965,g__Lactobacillus
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_noname,-0.04971843703361678,-0.14578493793239744,-0.17283400569734295,g__Peptostreptococcaceae_noname
k__Bacteria|p__Proteobacteria,2.390145185154952,-0.10087283809414148,-0.1726849940854036,p__Proteobacteria
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae,-0.04613387330146956,-0.1436211701177612,-0.17161145482835405,f__Peptostreptococcaceae
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_acidophilus|t__Lactobacillus_acidophilus_unclassified,-0.3561884735402696,-0.1513760324262643,-0.15402695213136394,t__Lactobacillus_acidophilus_unclassified
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_acidophilus,-0.3561884735402696,-0.1513760324262643,-0.15402695213136394,s__Lactobacillus_acidophilus
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname,-0.3746029709157579,-0.0311103697561288,-0.14589401756105058,g__Siphoviridae_noname
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Proteus,-0.3238582585630052,-0.1537435289167428,-0.1441341308194124,g__Proteus
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae,-0.44570415957542586,-0.13825681169262086,-0.14205565725144975,f__Enterococcaceae
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus,-0.4457214449224107,-0.13825484473934413,-0.14205369029817305,g__Enterococcus
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_clostridioforme|t__GCF_000371525,-0.44544857485862893,-0.11505087573757322,-0.1416752604084932,t__GCF_000371525
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_unclassified,0.7208426024141676,0.2103749279237732,-0.14141723190126146,s__Parabacteroides_unclassified
